type,xaccl,yaccl,zaccl,xmagnet,ymagnet,zmagnet,xgyro,ygyro,zgyro,id 
tiltRight, 0.015625, 0.0, -0.0, 0.1220703125, -0.274658203125,0.152587890625,0.9613037109375,-2.49481201171875,-1.8768310546875,B0EB4FB2-9881-46A0-B1AC-5EEFC67AF13B 
tiltRight, 0.0, 0.0, -0.0, -0.030517578125, -0.213623046875,0.152587890625,0.9613037109375,-2.49481201171875,-1.8768310546875,B0EB4FB2-9881-46A0-B1AC-5EEFC67AF13B 
tiltRight, 0.0, 0.0, -0.0, -0.030517578125, -0.152587890625,-0.030517578125,1.739501953125,-3.2196044921875,-0.9765625,B0EB4FB2-9881-46A0-B1AC-5EEFC67AF13B 
tiltRight, 0.0, 0.0, -0.0, 0.18310546875, -0.244140625,0.0,1.9073486328125,-2.166748046875,-1.77764892578125,B0EB4FB2-9881-46A0-B1AC-5EEFC67AF13B 
tiltRightBack, 0.0, 0.0, -0.0, -0.030517578125, 0.0,0.1220703125,2.6702880859375,-2.0599365234375,-1.5869140625,42CE9337-9107-46C9-A80D-1AB53B11BCF2 
tiltRightBack, 0.0, 0.0, -0.0, 0.091552734375, -0.152587890625,-0.274658203125,2.0599365234375,-3.4637451171875,-1.5106201171875,42CE9337-9107-46C9-A80D-1AB53B11BCF2 
tiltRightBack, 0.0, 0.0, -0.0, 0.091552734375, -0.244140625,-0.18310546875,2.09808349609375,-1.30462646484375,-1.89971923828125,42CE9337-9107-46C9-A80D-1AB53B11BCF2 
tiltRightBack, 0.0, 0.0, -0.0, -0.091552734375, -0.18310546875,-0.335693359375,2.09808349609375,-1.30462646484375,-1.89971923828125,42CE9337-9107-46C9-A80D-1AB53B11BCF2 
tiltRight, 0.0, 0.0, -0.0, -0.030517578125, -0.213623046875,-0.274658203125,2.7008056640625,-3.5400390625,-1.739501953125,4CB525FC-53DA-45C5-B7D9-ACA37BBC07CE 
tiltRight, 0.015625, 0.0, -0.0, 0.0, -0.18310546875,-0.244140625,1.16729736328125,-2.5634765625,-1.0223388671875,4CB525FC-53DA-45C5-B7D9-ACA37BBC07CE 
tiltRight, 0.0, 0.0, -0.0, 0.0, -0.18310546875,-0.244140625,1.16729736328125,-2.5634765625,-1.0223388671875,4CB525FC-53DA-45C5-B7D9-ACA37BBC07CE 
tiltRight, 0.0, 0.015625, -0.078125, -0.06103515625, -0.06103515625,0.518798828125,1.16729736328125,-2.5634765625,-1.0223388671875,4CB525FC-53DA-45C5-B7D9-ACA37BBC07CE 
tiltRightBack, 0.03125, -0.03125, -0.109375, 0.701904296875, -0.8544921875,6.77490234375,3.7078857421875,-2.44140625,-2.06756591796875,F96F8868-69D3-4AD7-9131-77E671AF61BC 
tiltRightBack, 0.03125, -0.03125, -0.109375, 0.701904296875, -0.885009765625,6.866455078125,0.86212158203125,-1.79290771484375,-0.80108642578125,F96F8868-69D3-4AD7-9131-77E671AF61BC 
tiltRightBack, 0.046875, -0.03125, -0.125, 0.640869140625, -0.762939453125,7.232666015625,-0.0152587890625,-3.21197509765625,-0.946044921875,F96F8868-69D3-4AD7-9131-77E671AF61BC 
tiltRightBack, 0.046875, -0.03125, -0.078125, 0.762939453125, -0.54931640625,5.55419921875,-0.0152587890625,-3.21197509765625,-0.946044921875,F96F8868-69D3-4AD7-9131-77E671AF61BC 
tiltRight, 0.0, 0.0, 0.03125, -0.42724609375, -0.152587890625,-1.40380859375,1.93023681640625,-1.25885009765625,-0.5340576171875,942242B1-1594-46B4-B222-964FF387DCE8 
tiltRight, 0.0, 0.0, 0.03125, -0.335693359375, 0.0,-1.129150390625,1.38092041015625,-3.47137451171875,-1.50299072265625,942242B1-1594-46B4-B222-964FF387DCE8 
tiltRight, 0.0, 0.0, 0.03125, -0.274658203125, -0.30517578125,-1.373291015625,2.03704833984375,-1.38092041015625,-0.885009765625,942242B1-1594-46B4-B222-964FF387DCE8 
tiltRight, 0.015625, 0.0, 0.03125, -0.274658203125, -0.30517578125,-1.373291015625,2.72369384765625,-1.73187255859375,-0.9002685546875,942242B1-1594-46B4-B222-964FF387DCE8 
tiltRightBack, 0.046875, -0.0625, -0.140625, 0.1220703125, -1.068115234375,10.1318359375,-0.55694580078125,-2.8228759765625,-2.1514892578125,5B308E9F-2331-451F-8CEE-FC1F67D9801B 
tiltRightBack, 0.0625, -0.03125, -0.15625, 0.18310546875, -1.220703125,9.765625,1.0528564453125,-4.17327880859375,-0.8087158203125,5B308E9F-2331-451F-8CEE-FC1F67D9801B 
tiltRightBack, 0.0625, -0.03125, -0.15625, 0.152587890625, -1.068115234375,9.82666015625,2.3193359375,-3.88336181640625,-0.58746337890625,5B308E9F-2331-451F-8CEE-FC1F67D9801B 
tiltRightBack, 0.078125, -0.0625, -0.109375, 0.701904296875, -0.762939453125,7.50732421875,2.3193359375,-3.88336181640625,-0.58746337890625,5B308E9F-2331-451F-8CEE-FC1F67D9801B 
tiltRight, -0.015625, 0.0, 0.03125, -0.396728515625, -0.213623046875,-1.922607421875,2.28118896484375,-2.532958984375,-0.38909912109375,0F755064-8421-45CA-A0C0-E3879692E43A 
tiltRight, 0.0, -0.015625, 0.03125, -0.396728515625, -0.213623046875,-1.922607421875,2.4566650390625,-3.5858154296875,-0.87738037109375,0F755064-8421-45CA-A0C0-E3879692E43A 
tiltRight, 0.0, 0.0, 0.03125, -0.30517578125, -0.3662109375,-1.922607421875,5.42449951171875,-0.9307861328125,-2.44903564453125,0F755064-8421-45CA-A0C0-E3879692E43A 
tiltRight, -0.015625, 0.0, -0.015625, 0.274658203125, 0.1220703125,0.885009765625,54.8171997070312,21.97265625,4.73785400390625,0F755064-8421-45CA-A0C0-E3879692E43A 
tiltRightBack, 0.046875, -0.0625, -0.15625, -0.213623046875, -1.0986328125,10.833740234375,0.7781982421875,-2.02178955078125,-1.59454345703125,4B277E97-7F90-4323-B07D-83FE86D76311 
tiltRightBack, 0.046875, -0.0625, -0.171875, -0.213623046875, -1.0986328125,10.833740234375,0.1983642578125,-1.83868408203125,-1.10626220703125,4B277E97-7F90-4323-B07D-83FE86D76311 
tiltRightBack, 0.046875, -0.0625, -0.171875, -0.213623046875, -1.15966796875,10.8642578125,1.678466796875,-3.16619873046875,-2.044677734375,4B277E97-7F90-4323-B07D-83FE86D76311 
tiltRightBack, 0.0625, -0.0625, -0.109375, 0.762939453125, -0.91552734375,6.16455078125,1.678466796875,-3.16619873046875,-2.044677734375,4B277E97-7F90-4323-B07D-83FE86D76311 
tiltRight, 0.0, 0.0, 0.015625, -0.1220703125, -0.8544921875,-1.678466796875,3.2501220703125,-0.8544921875,-0.78582763671875,6AD932B2-8C3C-435C-86E1-8ADD52B7853C 
tiltRight, 0.0, 0.0, 0.03125, -0.091552734375, -0.9765625,-1.64794921875,3.2501220703125,-0.8544921875,-0.78582763671875,6AD932B2-8C3C-435C-86E1-8ADD52B7853C 
tiltRight, 0.015625, 0.0, 0.03125, 0.06103515625, -0.885009765625,-1.739501953125,1.82342529296875,-1.59454345703125,-1.40380859375,6AD932B2-8C3C-435C-86E1-8ADD52B7853C 
tiltRight, 0.0, 0.0, 0.03125, 0.06103515625, -0.823974609375,-1.739501953125,1.82342529296875,-1.59454345703125,-1.40380859375,6AD932B2-8C3C-435C-86E1-8ADD52B7853C 
tiltRightBack, 0.046875, -0.0625, -0.171875, -0.3662109375, -0.91552734375,11.077880859375,-0.8544921875,-2.35748291015625,-0.12969970703125,DDACDD7B-9999-4661-8F74-6EABE4980C63 
tiltRightBack, 0.046875, -0.0625, -0.171875, -0.1220703125, -1.068115234375,10.8642578125,-0.03814697265625,-0.89263916015625,-1.15966796875,DDACDD7B-9999-4661-8F74-6EABE4980C63 
tiltRightBack, 0.046875, -0.078125, -0.15625, -0.06103515625, -1.190185546875,10.528564453125,1.3885498046875,-3.8909912109375,-2.471923828125,DDACDD7B-9999-4661-8F74-6EABE4980C63 
tiltRightBack, 0.0625, -0.0625, -0.140625, 0.30517578125, -0.8544921875,8.85009765625,1.3885498046875,-3.8909912109375,-2.471923828125,DDACDD7B-9999-4661-8F74-6EABE4980C63 
tiltRight, 0.0, 0.0, 0.046875, -0.1220703125, -0.48828125,-1.8310546875,-10.894775390625,-8.18634033203125,-3.1280517578125,ADBE501F-C92D-40B3-8A7F-C6701E73CA43 
tiltRight, 0.0, 0.0, 0.046875, -0.244140625, -0.518798828125,-2.01416015625,0.946044921875,-3.35693359375,-1.38092041015625,ADBE501F-C92D-40B3-8A7F-C6701E73CA43 
tiltRight, 0.0, 0.0, -0.0, 0.274658203125, -0.396728515625,-0.457763671875,2.15911865234375,-1.35040283203125,0.84686279296875,ADBE501F-C92D-40B3-8A7F-C6701E73CA43 
tiltRight, 0.0, 0.0, -0.0625, 0.274658203125, -0.396728515625,-0.457763671875,53.314208984375,22.6974487304688,4.29534912109375,ADBE501F-C92D-40B3-8A7F-C6701E73CA43 
tiltRightBack, 0.0625, -0.0625, -0.171875, -0.457763671875, -1.556396484375,11.505126953125,1.80816650390625,-3.3111572265625,-2.5177001953125,024E7593-FC60-41A0-9602-21C4E0DD2F4B 
tiltRightBack, 0.0625, -0.078125, -0.171875, -0.42724609375, -1.556396484375,11.29150390625,0.42724609375,-1.68609619140625,-2.532958984375,024E7593-FC60-41A0-9602-21C4E0DD2F4B 
