type,xaccl,yaccl,zaccl,xmagnet,ymagnet,zmagnet,xgyro,ygyro,zgyro,id
tiltLeft,-0.0234375,-0.0078125,0.02734375,-1.26552581787109,1.76429748535156,0.06866455078125,-0.858306884765625,0.579833984375,-0.692367553710938,A4C483FF-7318-4AF5-914B-0C7B68448D4E
tiltLeftBack,-0.02734375,-0.0302734375,0.1240234375,-4.02164459228516,1.36184692382812,-5.87749481201172,-11.3430023193359,-3.62968444824219,-1.56974792480469,6EDA22E6-4BA5-4A92-AD02-077106AFC521
tiltLeft,-0.01708984375,-0.01318359375,-0.00732421875,-0.43487548828125,1.31607055664062,1.92642211914062,-21.8467712402344,-5.35011291503906,-2.67982482910156,6C4C3CAB-17CD-4EC1-97F1-62D2F4008EFA
tiltLeftBack,-0.02734375,-0.0439453125,0.1279296875,-4.57763671875,0.726699829101562,-6.96754455566406,22.0603942871094,27.7309417724609,1.74903869628906,3DADEE35-645E-4D01-B63D-EB959D352BF6
tiltLeft,-0.0087890625,-0.009765625,-0.029296875,-0.131607055664062,0.942230224609375,2.20298767089844,-3.2806396484375,-3.32260131835938,-1.59072875976562,BE1EFEE4-0E3A-4580-A98F-3B84A196D9E5
tiltLeftBack,-0.01513671875,-0.04541015625,0.1435546875,-4.96768951416016,-0.394821166992188,-16.7455673217773,2.32124328613281,1.36947631835938,-3.36074829101562,4664C4A5-CBD3-4AD3-A886-2035FB86B7BE
tiltLeft,-0.00537109375,-0.01025390625,0.01171875,-1.70803070068359,0.199317932128906,-10.6115341186523,-4.46701049804688,0.692367553710938,-2.47001647949219,63386BAD-2A44-4C8D-B047-01F9D787044A
tiltLeftBack,-0.0087890625,-0.03515625,0.1103515625,-5.35392761230469,-0.79345703125,-17.0135498046875,2.82669067382812,4.66156005859375,1.89399719238281,F9F01CD2-21E2-437E-BBEF-7CC276263F80
tiltLeft,-0.0009765625,-0.0078125,0.04296875,-0.978469848632812,-0.48065185546875,-9.3536376953125,1.07383728027344,1.6326904296875,0.0057220458984375,464A3161-750F-49CC-869A-9A3F1034F3C8
tiltLeftBack,-0.0126953125,-0.0615234375,0.1171875,-4.17137145996094,-1.03664398193359,-16.1294937133789,-7.07244873046875,-3.06892395019531,-0.072479248046875,B21E2BEF-ED8E-4AB8-9965-3233DA88A56E
tiltLeft,0.015625,0.0,-0.005859375,-0.57220458984375,-1.50299072265625,-9.979248046875,8.79859924316406,3.17764282226562,0.286102294921875,0367B7DD-9283-49EA-8C93-5DCB57B26C5E
tiltLeftBack,-0.02001953125,-0.0126953125,0.04296875,-2.96783447265625,-0.994682312011719,-15.0594711303711,-8.4686279296875,-1.99699401855469,-1.7547607421875,E84DE3B7-6FA8-453F-985E-2D61767C5DF9
tiltLeft,0.021484375,-0.0078125,0.01171875,-0.979423522949219,-1.11198425292969,-11.5652084350586,0.030517578125,2.14958190917969,-0.751495361328125,3FECF2FB-5A4D-414B-8085-C11F75E4D545
tiltLeftBack,0.01025390625,-0.03564453125,0.03369140625,-2.00271606445312,-1.49250030517578,-12.5656127929688,12.0506286621094,4.14466857910156,-1.6021728515625,7079617C-35BE-475A-992A-7D142333AF7D
tiltLeft,0.01953125,0.0,0.0,-0.376701354980469,-1.80244445800781,-10.1451873779297,-44.0292358398438,-15.07568359375,-8.89015197753906,52DFC967-928E-4D74-9E67-2A30BB615175
tiltLeftBack,-0.0078125,-0.060546875,0.166015625,-5.97667694091797,-1.08146667480469,-18.0177688598633,31.2137603759766,9.09805297851562,4.16946411132812,5BBB8527-A438-481D-A435-F007A5834885
tiltLeft,0.015625,-0.0107421875,-0.0205078125,-0.194549560546875,-1.73759460449219,-8.50105285644531,-26.0753631591797,-7.00569152832031,-3.936767578125,DB25C630-59C6-4C83-9A51-E4952CD7784F
tiltLeftBack,-0.00146484375,-0.068359375,0.1884765625,-6.72817230224609,-1.22642517089844,-18.3792114257812,19.8097229003906,-6.103515625,9.78851318359375,31C3B703-789D-48D3-96B0-76F45C3FEE44
tiltLeft,0.01513671875,-0.00830078125,0.013671875,-1.08718872070312,-1.27315521240234,-11.8122100830078,-13.4220123291016,-5.49507141113281,-2.35176086425781,B77271C2-7B8A-4BD2-82B0-A5997A7E7F17
tiltLeftBack,-0.01171875,-0.052734375,0.12890625,-4.74834442138672,-0.720024108886719,-16.6101455688477,17.0269012451172,10.9062194824219,4.32968139648438,4700299E-3AD3-4530-B3F6-38B9FB274733
tiltLeft,0.009765625,-0.01171875,0.083984375,-1.08051300048828,-1.58405303955078,-12.0840072631836,-1.89018249511719,-0.829696655273438,0.3814697265625,7E020A44-5FDF-469F-9747-0F58F4096FFB
tiltLeftBack,-0.0078125,-0.0439453125,0.0888671875,-3.72314453125,-0.799179077148438,-15.2149200439453,8.79669189453125,8.6212158203125,-2.21824645996094,2DB947B6-2BFB-4B33-9576-E060FEEFD674
tiltLeft,0.0078125,0.0,0.005859375,-1.21116638183594,-0.722885131835938,-10.6315612792969,1.26838684082031,3.67546081542969,-0.1068115234375,D98AB8A4-3DEE-42A2-9845-474F5B6801D4
